Eng Displ,# Cyl,Comb Unadj FE - Conventional Fuel,# Gears,Max Ethanol % - Gasoline,Intake Valves Per Cyl,Exhaust Valves Per Cyl,Lockup Torque Converter,Carline Class Desc,Oil Viscosity,Calc Approach Desc,Label Recalc?
3.5,6,40.8636,6,15.0,2,2,N,Standard SUV 4WD,0W-20,Derived 5-cycle label,N
3.3,6,26.4506,6,85.0,2,2,Y,Standard Pick-up Trucks 4WD,SAE 5W-20 / API SN Plus,Derived 5-cycle label,N
2.0,4,36.92,6,10.0,2,2,Y,Minicompact Cars,##-##,Derived 5-cycle label,N
4.4,8,21.8324,8,10.0,2,2,Y,Midsize Cars,5W30,   ,N
,6,29.1331,9,10.0,2,2,Y,Small SUV 4WD,5W20,Derived 5-cycle label,N
1.5,4,70.3752,1,10.0,2,2,Y,Midsize Cars,0W-20,   ,N
2.0,4,36.7251,8,10.0,2,2,Y,Subcompact Cars,##-##,Derived 5-cycle label,N
2.0,4,33.0785,7,15.0,2,2,Y,Subcompact Cars,##-##,Derived 5-cycle label,N
5.0,8,23.8408,8,15.0,2,2,Y,Two Seaters,##-##,Derived 5-cycle label,N
2.0,4,33.0081,6,10.0,2,2,N,Subcompact Cars,##-##,Derived 5-cycle label,N
2.0,4,32.5329,8,15.0,2,2,Y,Midsize Cars,0W30 ACEA C2,   ,N
2.0,4,35.1065,8,15.0,2,2,Y,Special Purpose Vehicle 2WD,5W20 AP SN Plus,Derived Vehicle Specific 5-cycle Calculation Approach for city label but Modified 5-cycle Calculation Approach for Highway label,N
3.0,6,30.1802,9,10.0,2,2,Y,Subcompact Cars,5W30,Derived 5-cycle label,N
3.0,6,23.7396,8,10.0,2,2,Y,not provided,SAE 5W/40 API SL/CF,Derived 5-cycle label,N
5.0,8,19.9547,8,15.0,2,2,Y,Standard SUV 4WD,0W20,Derived 5-cycle label,N
3.6,6,27.9923,8,10.0,2,2,Y,not provided,5W20,Derived 5-cycle label,N
6.2,8,20.8591,8,10.0,1,1,Y,Two Seaters,##-##,Derived Vehicle Specific 5-cycle Calculation Approach for city label but Modified 5-cycle Calculation Approach for Highway label,N
3.0,6,32.4871,7,10.0,2,2,N,Minicompact Cars,##-##,Derived 5-cycle label,N
3.0,6,29.8689,8,15.0,2,2,Y,Two Seaters,##-##,Derived 5-cycle label,N
,6,26.712,8,10.0,2,2,Y,Small SUV 4WD,SAE 5W20,Derived 5-cycle label,N
,4,31.8829,9,10.0,2,2,Y,Small SUV 4WD,5w-30,Derived 5-cycle label,N
3.0,6,31.5315,8,10.0,2,2,Y,not provided,0W20,   ,N
3.0,6,31.8594,8,10.0,2,2,Y,Subcompact Cars,##-##,Derived 5-cycle label,N
3.6,6,24.1931,6,10.0,2,2,N,Compact Cars,5W30,Derived 5-cycle label,N
2.5,4,40.9964,6,10.0,2,2,Y,Compact Cars,GF-5 0W-20,   ,N
1.6,4,37.4983,6,15.0,2,2,N,Compact Cars,5W30,   ,N
,8,22.5704,8,10.0,2,2,Y,Standard SUV 4WD,5W30,Derived 5-cycle label,N
6.2,8,18.5116,8,10.0,1,1,Y,Two Seaters,##-##,Derived 5-cycle label,N
2.7,6,27.0972,6,15.0,2,2,Y,Midsize Cars,5W-30 API SN Plus,   ,N
2.0,4,30.7401,6,15.0,2,2,Y,Small SUV 2WD,SAE 5W30,Derived Vehicle Specific 5-cycle Calculation Approach for city label but Modified 5-cycle Calculation Approach for Highway label,N
2.0,4,35.6914,6,10.0,2,2,Y,Small SUV 2WD,0W20,Derived 5-cycle label,N
4.0,8,23.3297,7,10.0,2,2,Y,Two Seaters,##-##,Derived 5-cycle label,N
3.0,6,29.0593,7,10.0,2,2,N,Minicompact Cars,##-##,Derived 5-cycle label,N
2.5,4,37.0354,6,10.0,2,2,N,not provided,GF-5 0W-20,   ,N
